gene,Endothelial,Pericytes,Smooth muscle,Fibroblasts,Oligodendrocytes,Microglia,Astrocytes,Neurons,T cells,B cells,NK cells,Monocytes,Dendritic cells,Macrophages,Plasma cells,Granulocytes,logFC,direction
CD248,0.707758999618831,1,0.824494834750383,0.742053446345744,0.411954017516324,0.491060650340378,0.629059910945847,0.321619301481543,0.724589844048227,0.379547061168119,,,,0.264532800208083,0.552068452608173,0.115014260960036,-0.0662902318645006,Down in MS
ARHGAP1,0.0299625754126764,0.0325930774496617,0.053091445121023,0.00239848096622477,0.0635561460704753,0.081003630825071,0,0.0593375122580878,0.420815548894304,0.314038527182081,0.721732610083297,0.915872649560066,1,0.433758218192755,0.204025838145245,0.40463721227124,-0.0667374416963975,Down in MS
KLK8,,,,,,,,,,,,,,0.382352941176471,,1,-0.0671224064769168,Down in MS
ITGB6,1,0.788279497085344,0.782325992943203,0.521616500704456,0.305282090298046,0.992424290771898,,,,,,,,0.341090801975756,,0.629706095955242,-0.0677334818273303,Down in MS
HRG,,,,,,0.525036395533134,,,,,,,,,1,,-0.0687772265544706,Down in MS
DPP6,0.457699362870152,0.233251436930129,0.381213196416774,0.486267281476975,0.781524220409011,0.581503042610476,0.681819124912125,1,,,,,,,,,-0.0712630435348878,Down in MS
TNXB,1,0.657080224088433,0.63111484622295,0.791987953670548,0.467100636765485,0.664589745864392,0.580161864671144,0.378424614556245,0.259316120201836,0.294677409320268,,,,0.400761276675565,0.48327095128524,0.294677409320268,-0.071990875647453,Down in MS
MIA,1,,,,,,,,,,,,,,,,-0.0724455909349855,Down in MS
CD209,0.0581720423646038,0.0722759184917865,0.0953382059815414,,0.061521218678,0.262837697897642,,,,,,,,1,,,-0.0724575950174542,Down in MS
SCN4B,0.597345010302095,0.89716763892516,1,0.69383133372762,0.538165484564113,0.642552166663907,0.632126695817849,0.254807712267641,,,,,,,,,-0.0732821360800069,Down in MS
GPC1,0.514467134311143,0.731873567009014,0.808548179977957,0.645796888644411,0.717444442668694,0.637703080942626,0.69945825680827,1,0.219831222213848,0.261703835968866,0.115149687826301,,,0.219831222213848,0.261703835968866,0.240767529091357,-0.073986442684422,Down in MS
MEGF10,0.547448495140778,0.359869431471446,0.327679215733626,0.533356155583321,1,0.626337734856233,0.585026421380403,0.677755826172361,,,,,,,,,-0.0742312477272689,Down in MS
ACHE,0.447675562086027,0.658902771866654,0.932681121947705,0.773793937346442,0.675341511931818,1,0.467825424250278,,,,,,,0.305586861066845,0.343785218700201,,-0.0752029419678696,Down in MS
CRTAC1,0.843103546348562,,0.85770282389792,,1,,,,,,,,,,0.26303553712766,0.499767520542553,-0.076838109961117,Down in MS
ART3,0.598870229353959,0.644102227339969,0.827974983924961,0.504521176479881,1,0.581392993218743,0.435588572638572,0.270403428234452,,,,,,,,,-0.0769123274365773,Down in MS
